Dates,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5TELS Index,S5UTIL Index
1989-09-11,77.3292,57.81,82.97,80.47,66.34,75.41,72.88,80.03,88.17,95.52
1989-09-12,77.3302,57.85,83.84,80.61,66.29,75.64,73.52,80.09,88.52,95.71
1989-09-13,76.3118,57.16,83.16,79.78,65.81,74.9,72.91,79.4,88.16,95.18
1989-09-14,75.5309,56.95,82.2,79.06,65.23,74.37,72.68,78.88,88.35,94.99
1989-09-15,75.6598,57.01,82.67,79.7,65.7,74.9,73.04,79.11,89.45,95.7
1989-09-18,75.8749,57.28,83.41,80.11,66.16,75.16,72.92,79.2,90.64,95.87
1989-09-19,75.9463,57.54,83.02,79.69,66.17,75.09,72.46,79.06,91.28,95.79
1989-09-20,75.6241,57.44,82.94,79.89,66.36,74.96,72.71,79.23,91.19,96.17
1989-09-21,75.3951,57.13,82.85,80.0,66.08,74.79,72.84,78.82,91.17,95.86
1989-09-22,75.5477,57.28,83.22,80.72,66.31,74.86,73.01,78.91,92.33,96.07
1989-09-25,74.958,56.92,82.27,80.0,65.94,74.27,72.9,78.32,90.93,95.51
1989-09-26,75.3697,57.09,81.64,80.17,65.82,74.22,73.18,78.05,91.01,95.44
1989-09-27,75.552,57.46,81.69,80.63,66.88,74.59,71.33,78.15,91.28,95.28
1989-09-28,76.1577,58.77,82.13,81.91,68.3,75.38,70.62,78.55,92.26,95.73
1989-09-29,75.8588,58.93,82.42,82.76,68.33,75.36,70.58,78.8,92.56,95.71
1989-10-02,76.4333,59.15,83.04,83.39,68.39,75.87,70.32,79.52,92.65,95.88
1989-10-03,77.3606,60.14,83.92,84.76,69.55,76.71,69.35,80.44,93.79,96.29
1989-10-04,77.71,60.59,84.44,85.18,70.16,77.05,70.51,80.72,94.68,96.23
1989-10-05,77.6376,60.7,84.48,84.97,70.24,77.21,70.8,80.25,94.67,96.25
1989-10-06,77.8869,61.17,85.71,85.16,70.67,77.4,71.17,80.01,95.57,96.26
1989-10-09,78.2182,61.28,86.1,85.35,70.92,77.49,72.46,79.96,95.06,96.6
1989-10-10,78.0644,61.23,85.89,85.1,70.97,77.48,72.22,79.94,94.24,96.7
1989-10-11,77.5295,61.03,85.58,84.46,70.62,77.0,71.66,79.34,93.37,96.5
1989-10-12,76.9581,60.51,85.38,84.02,69.94,76.74,71.49,79.07,93.46,96.49
1989-10-13,72.1454,56.32,80.06,78.72,65.42,72.02,67.02,74.28,87.83,93.44
1989-10-16,74.037,58.43,82.75,80.39,67.72,73.29,68.79,75.62,91.65,94.92
1989-10-17,73.3227,58.61,82.72,79.73,67.81,72.59,68.46,74.76,91.2,94.94
1989-10-18,73.2975,58.9,82.87,80.09,68.01,72.53,68.7,74.95,91.39,94.75
1989-10-19,74.6295,59.95,83.75,81.5,69.41,73.43,70.25,75.97,92.81,95.61
1989-10-20,74.5971,59.92,83.93,81.85,69.22,73.35,70.01,75.56,93.22,95.91
1989-10-23,74.2851,59.85,82.96,81.07,69.09,72.86,69.31,74.74,92.25,95.77
1989-10-24,74.2088,60.2,82.42,80.37,69.08,72.57,69.27,74.09,91.51,95.48
1989-10-25,73.4919,59.67,82.53,80.59,69.04,72.03,68.64,73.92,91.83,95.82
1989-10-26,72.3614,58.57,81.2,79.83,68.31,71.09,67.31,73.14,90.82,95.43
1989-10-27,71.6562,58.0,81.44,78.33,67.29,70.26,66.79,72.94,89.9,95.6
1989-10-30,71.3799,58.2,81.39,78.04,67.46,70.41,66.43,72.9,90.31,95.81
1989-10-31,72.205,59.15,82.92,79.23,68.8,71.53,67.48,74.48,91.36,97.11
1989-11-01,72.3846,59.35,82.89,79.54,69.4,71.59,67.41,74.52,91.43,97.88
1989-11-02,71.7985,58.84,82.37,79.04,69.11,70.98,65.39,74.24,90.85,97.8
1989-11-03,71.5717,58.63,82.35,78.91,68.83,70.82,64.97,74.1,90.57,97.79
1989-11-06,70.4032,57.7,81.23,77.53,67.76,69.78,63.81,73.0,89.63,96.78
1989-11-07,70.8673,58.02,81.64,78.05,68.42,69.99,64.67,73.41,90.38,97.54
1989-11-08,71.655,58.9,81.9,79.37,69.61,70.85,64.56,73.64,91.21,98.1
1989-11-09,71.2905,58.46,80.95,79.25,69.81,70.7,64.72,72.93,90.76,97.46
